Time (min),Temperature (°C),Stiring
43785,248.5,0.1
87300,250,0.1
19845,206.2,0.1
83445,249.9,0.1
72600,250,0.1
67710,250,0.1
22365,223.9,0.1
95700,250,0.1
56505,250.1,0.1
915,115.3,0.1
135045,249.9,0.1
87525,249.9,0.1
44175,248.7,0.1
84705,250.1,0.1
6030,131.2,0.1
4980,126.1,0.1
116910,249.3,0.1
15135,179.7,0.1
17520,192,0.1
77985,249.7,0.1
2460,117.5,0.1
120825,250.1,0.1
131085,250.3,0.1
71580,250.1,0.1
89940,250.1,0.1
112005,249.8,0.1
51420,249.9,0.1
25815,249.9,0.1
21570,217.9,0.1
102825,250.2,0.1
104670,249.6,0.1
68895,249.9,0.1
110115,249.7,0.1
20010,207.2,0.1
92880,250,0.1
64530,249.9,0.1
24885,244.8,0.1
136770,249.9,0.1
58050,249.9,0.1
95055,250,0.1
129495,250.4,0.1
87450,250,0.1
118680,249.8,0.1
84300,250,0.1
10590,156.2,0.1
56595,250,0.1
65295,250,0.1
120195,250.1,0.1
37890,245.4,0.1
105570,249.6,0.1
37740,245.3,0.1
76965,249.8,0.1
23430,232.6,0.1
106500,249.8,0.1
136620,250,0.1
86625,250,0.1
10440,155.5,0.1
16545,187.2,0.1
7095,138.8,0.1
5685,129.3,0.1
124155,250.4,0.1
40365,246.4,0.1
127275,250.3,0.1
73410,250,0.1
72195,250,0.1
72285,250,0.1
94950,249.9,0.1
82800,249.9,0.1
52425,249.8,0.1
107865,249.6,0.1
102315,250,0.1
5715,129.4,0.1
114780,250,0.1
43050,248.2,0.1
33225,250.1,0.1
82845,249.9,0.1
68115,249.9,0.1
29670,253.4,0.1
110055,249.8,0.1
30120,253.2,0.1
104685,249.6,0.1
870,115.3,0.1
45375,249.1,0.1
17325,190.9,0.1
119985,249.7,0.1
116265,249.9,0.1
43275,248.3,0.1
116700,249.7,0.1
87180,249.9,0.1
46305,249.3,0.1
49635,250,0.1
17895,194.1,0.1
112395,249.9,0.1
87630,249.9,0.1
12870,168.2,0.1
69015,249.9,0.1
50325,250,0.1
134325,250.1,0.1
49485,249.9,0.1
136590,250,0.1
104295,250,0.1
23040,229,0.1
11175,159.2,0.1
32865,250.4,0.1
51495,249.9,0.1
118260,250,0.1
43830,248.6,0.1
86370,249.9,0.1
42690,247.9,0.1
72180,250,0.1
138240,250,0.1
60840,249.9,0.1
117330,249.3,0.1
19170,201.5,0.1
65730,250,0.1
82500,249.8,0.1
88500,250,0.1
60960,249.8,0.1
116490,249.9,0.1
24840,244.5,0.1
77340,249.8,0.1
22995,228.6,0.1
29310,253.6,0.1
72405,250,0.1
76545,249.8,0.1
67065,250,0.1
59835,249.8,0.1
59325,249.8,0.1
79020,249.8,0.1
117135,249.3,0.1
50685,249.9,0.1
85200,249.9,0.1
14565,176.6,0.1
3210,119.4,0.1
108420,249.8,0.1
72375,250,0.1
35985,246.4,0.1
29055,253.6,0.1
12930,168.6,0.1
45,114.9,0.1
68910,249.9,0.1
69435,250,0.1
51270,249.9,0.1
53610,249.8,0.1
2715,118.1,0.1
24270,239.9,0.1
116610,249.7,0.1
136605,250,0.1
95265,250,0.1
58815,250.1,0.1
85875,249.8,0.1
88995,250.1,0.1
112950,249.8,0.1
32130,250.8,0.1
111375,249.4,0.1
100890,250,0.1
61155,249.7,0.1
43290,248.3,0.1
99750,250,0.1
71730,250.1,0.1
1050,115.3,0.1
8160,144.7,0.1
63135,249.8,0.1
12525,166.4,0.1
65910,250,0.1
84795,250,0.1
61545,249.6,0.1
58575,249.9,0.1
133920,250.4,0.1
5505,128.5,0.1
107340,249.7,0.1
115575,250.2,0.1
59250,249.9,0.1
103560,250.3,0.1
104850,249.6,0.1
13155,169.7,0.1
121335,250.6,0.1
2940,118.7,0.1
134805,250,0.1
39570,245.9,0.1
36690,245.7,0.1
70440,250.1,0.1
97545,249.8,0.1
124425,250.4,0.1
81270,250,0.1
69390,250,0.1
23160,230,0.1
104865,249.6,0.1
136560,250,0.1
115635,250.1,0.1
129585,250.3,0.1
123945,250.4,0.1
59430,249.8,0.1
93555,249.8,0.1
84525,250.1,0.1
21480,217.1,0.1
128490,249.8,0.1
100695,250,0.1
74955,250,0.1
51435,249.9,0.1
72720,250.1,0.1
34080,248.5,0.1
89445,250.1,0.1
73200,250.1,0.1
66570,250,0.1
42975,248.2,0.1
85515,249.9,0.1
40740,246.8,0.1
3270,119.7,0.1
120420,250,0.1
134460,250.1,0.1
41400,247.2,0.1
18660,198.3,0.1
135030,249.9,0.1
78660,249.7,0.1
130020,250.2,0.1
111870,249.7,0.1
70395,250.1,0.1
17490,191.9,0.1
46425,249.3,0.1
6225,132.2,0.1
126780,250.3,0.1
73770,250.1,0.1
11385,160.2,0.1
20775,212.1,0.1
85800,249.8,0.1
18015,194.8,0.1
114300,250,0.1
47295,249.5,0.1
66810,249.9,0.1
134790,250.1,0.1
4920,125.8,0.1
47085,249.5,0.1
75660,250,0.1
87210,249.9,0.1
30945,251.9,0.1
135150,249.9,0.1
114660,250,0.1
35820,246.7,0.1
133875,250.4,0.1
19215,201.9,0.1
81330,250,0.1
122130,250.5,0.1
61305,249.8,0.1
19230,202,0.1
37260,245.6,0.1
112470,249.9,0.1
21555,217.7,0.1
133170,250.4,0.1
840,115.3,0.1
44400,248.7,0.1
111465,249.4,0.1
40860,246.8,0.1
27660,253.7,0.1
37830,245.3,0.1
97680,249.9,0.1
57285,249.9,0.1
109125,250,0.1
45750,249,0.1
56850,250.1,0.1
100740,250,0.1
11100,158.8,0.1
107250,249.6,0.1
7860,143.2,0.1
83250,249.9,0.1
54900,250.4,0.1
126375,250.5,0.1
84510,250.1,0.1
43410,248.5,0.1
6525,134.6,0.1
82260,249.8,0.1
4620,124.6,0.1
46170,249.2,0.1
6015,131.1,0.1
58305,249.9,0.1
13215,170,0.1
42705,247.9,0.1
90000,250.2,0.1
86805,249.9,0.1
94830,249.9,0.1
4320,123.4,0.1
137520,249.8,0.1
107265,249.6,0.1
74985,250,0.1
7140,139.1,0.1
133395,250.3,0.1
126480,250.4,0.1
40170,246.2,0.1
104775,249.5,0.1
123330,250.8,0.1
11055,158.6,0.1
111585,249.5,0.1
82740,249.9,0.1
79230,249.8,0.1
93780,249.7,0.1
50550,249.8,0.1
98685,249.8,0.1
98955,250,0.1
118665,249.8,0.1
27585,253.7,0.1
29925,253.2,0.1
46830,249.4,0.1
104835,249.6,0.1
106200,249.9,0.1
12000,163.4,0.1
89160,250.1,0.1
71625,250.1,0.1
21075,214.3,0.1
68625,249.9,0.1
1035,115.3,0.1
72255,250,0.1
23790,235.4,0.1
46875,249.4,0.1
109830,249.9,0.1
16110,184.9,0.1
134250,250.1,0.1
33420,249.8,0.1
38655,245.1,0.1
125340,250.1,0.1
119205,249.9,0.1
127410,250.3,0.1
33585,249.5,0.1
63555,249.9,0.1
38010,245.3,0.1
136860,249.8,0.1
108720,249.9,0.1
72015,250.1,0.1
7155,139.2,0.1
19935,206.8,0.1
133380,250.3,0.1
26655,252.3,0.1
132435,249.9,0.1
11265,159.5,0.1
121575,250.5,0.1
108660,249.9,0.1
118095,249.9,0.1
127005,250.3,0.1
122505,250.4,0.1
7020,138.2,0.1
23175,230.2,0.1
79740,249.8,0.1
90810,250.1,0.1
15375,180.8,0.1
64560,249.9,0.1
123165,250.6,0.1
11595,161.4,0.1
32985,250.4,0.1
122385,250.3,0.1
98505,249.9,0.1
9615,151.8,0.1
46230,249.3,0.1
136200,250,0.1
16620,187.7,0.1
96960,249.8,0.1
102870,250.1,0.1
21300,215.8,0.1
41385,247.2,0.1
50925,249.7,0.1
62220,249.6,0.1
135990,249.9,0.1
25200,246.9,0.1
89460,250.1,0.1
9495,151.2,0.1
127860,250.3,0.1
32490,250.8,0.1
113535,250.2,0.1
85440,249.9,0.1
131670,250.2,0.1
78885,249.8,0.1
94860,249.9,0.1
92970,250,0.1
133230,250.4,0.1
45795,249,0.1
35160,247.6,0.1
17580,192.5,0.1
46050,249.1,0.1
54735,250.3,0.1
111345,249.4,0.1
88110,250,0.1
51870,249.8,0.1
53145,249.8,0.1
54990,250.4,0.1
59655,249.7,0.1
98670,249.9,0.1
45165,249,0.1
136485,249.9,0.1
41265,247.1,0.1
59700,249.7,0.1
12225,164.8,0.1
31965,250.8,0.1
110640,249.6,0.1
45255,249,0.1
122850,250.5,0.1
63450,249.8,0.1
46065,249.1,0.1
82755,249.9,0.1
2685,118,0.1
127875,250.3,0.1
53025,249.9,0.1
86415,249.9,0.1
62970,249.8,0.1
17355,191.1,0.1
102000,250.1,0.1
22980,228.6,0.1
125925,250.1,0.1
23025,228.9,0.1
95595,249.9,0.1
114105,250,0.1
65250,250,0.1
94125,249.8,0.1
32655,250.8,0.1
137055,249.9,0.1
88275,250.1,0.1
111645,249.6,0.1
22200,222.8,0.1
121890,250.6,0.1
135285,249.9,0.1
137445,249.8,0.1
43620,248.5,0.1
29280,253.5,0.1
55800,250.2,0.1
46980,249.4,0.1
17445,191.5,0.1
104895,249.6,0.1
113235,249.9,0.1
36840,245.6,0.1
111330,249.4,0.1
73575,250,0.1
53835,250,0.1
23970,237.1,0.1
90750,250.1,0.1
4500,124.1,0.1
111750,249.7,0.1
89550,250,0.1
96750,249.8,0.1
113865,250.2,0.1
116715,249.7,0.1
20385,209.4,0.1
43980,248.8,0.1
108390,249.7,0.1
129345,250.4,0.1
7290,139.9,0.1
42600,247.9,0.1
55590,250.3,0.1
17280,190.8,0.1
133410,250.3,0.1
46200,249.2,0.1
99375,250,0.1
134235,250.1,0.1
119400,250,0.1
75675,250,0.1
9975,153.4,0.1
84345,250,0.1
92025,250.1,0.1
9630,151.8,0.1
2640,117.8,0.1
137115,249.8,0.1
36870,245.6,0.1
11790,162.4,0.1
80445,250,0.1
59760,249.8,0.1
128475,249.8,0.1
1365,115.3,0.1
130965,250.2,0.1
135600,249.8,0.1
112995,249.8,0.1
29565,253.4,0.1
7950,143.7,0.1
38880,245.3,0.1
14940,178.6,0.1
62760,249.7,0.1
34680,248.3,0.1
32310,250.8,0.1
123555,250.7,0.1
21405,216.6,0.1
105285,249.6,0.1
125730,250,0.1
63720,249.9,0.1
95850,249.9,0.1
46605,249.2,0.1
77850,249.7,0.1
