time_s,Temperature (°C),Stiring
1560.0,232.4,0.1
8654.0,250.4,0.1
2478.0,245.7,0.1
2417.0,246.2,0.1
7635.0,249.9,0.1
3948.0,250.0,0.1
2324.0,248.1,0.1
6938.0,250.0,0.1
3314.0,249.9,0.1
2915.0,248.5,0.1
6321.0,249.8,0.1
2996.0,248.9,0.1
8257.0,250.6,0.1
1051.0,182.9,0.1
2925.0,248.6,0.1
1103.0,187.2,0.1
5487.0,249.8,0.1
5784.0,249.9,0.1
5248.0,249.7,0.1
3475.0,249.9,0.1
5095.0,249.8,0.1
4421.0,250.1,0.1
7354.0,249.9,0.1
7763.0,250.0,0.1
7304.0,250.0,0.1
2082.0,252.2,0.1
53.0,115.2,0.1
1259.0,199.7,0.1
8661.0,250.3,0.1
7768.0,249.8,0.1
1779.0,252.4,0.1
7249.0,249.9,0.1
3569.0,249.7,0.1
737.0,158.6,0.1
6669.0,250.0,0.1
8457.0,250.3,0.1
5789.0,249.9,0.1
9118.0,249.9,0.1
6141.0,250.1,0.1
6188.0,250.0,0.1
5856.0,249.9,0.1
171.0,117.7,0.1
1774.0,252.3,0.1
8167.0,250.4,0.1
6507.0,249.8,0.1
5991.0,250.2,0.1
6821.0,250.0,0.1
7675.0,250.0,0.1
3480.0,249.9,0.1
4201.0,249.9,0.1
340.0,126.6,0.1
5775.0,250.0,0.1
8885.0,250.4,0.1
6107.0,250.1,0.1
8735.0,250.2,0.1
8339.0,250.2,0.1
3119.0,249.3,0.1
5347.0,250.0,0.1
4822.0,250.0,0.1
9085.0,250.0,0.1
6258.0,249.7,0.1
6185.0,250.1,0.1
8159.0,250.3,0.1
3632.0,250.2,0.1
4699.0,250.1,0.1
5586.0,249.9,0.1
2463.0,245.7,0.1
8292.0,250.5,0.1
7879.0,250.0,0.1
6360.0,250.0,0.1
5929.0,250.1,0.1
63.0,115.3,0.1
2663.0,246.1,0.1
2733.0,247.0,0.1
1954.0,253.6,0.1
3108.0,249.2,0.1
2878.0,248.4,0.1
8186.0,250.7,0.1
5283.0,249.8,0.1
4504.0,250.0,0.1
4660.0,250.0,0.1
4682.0,250.0,0.1
8857.0,250.2,0.1
9049.0,249.7,0.1
8451.0,250.3,0.1
7227.0,249.7,0.1
1600.0,237.3,0.1
3519.0,249.8,0.1
2220.0,250.0,0.1
803.0,163.7,0.1
3738.0,250.2,0.1
4039.0,249.8,0.1
6397.0,249.9,0.1
5041.0,250.1,0.1
8480.0,250.3,0.1
2258.0,248.9,0.1
2825.0,247.8,0.1
6769.0,250.0,0.1
7717.0,250.1,0.1
3085.0,249.3,0.1
1232.0,197.1,0.1
1190.0,194.0,0.1
6323.0,249.9,0.1
6913.0,250.3,0.1
4629.0,250.0,0.1
5465.0,249.7,0.1
4725.0,250.1,0.1
882.0,170.1,0.1
3696.0,250.3,0.1
2401.0,246.4,0.1
6826.0,250.0,0.1
462.0,137.6,0.1
3435.0,249.9,0.1
139.0,116.4,0.1
6788.0,250.0,0.1
4535.0,249.9,0.1
3703.0,250.3,0.1
7023.0,249.6,0.1
6550.0,249.9,0.1
3711.0,250.2,0.1
379.0,129.3,0.1
5048.0,250.0,0.1
8728.0,250.2,0.1
6672.0,250.0,0.1
943.0,174.5,0.1
4094.0,249.8,0.1
6240.0,249.7,0.1
7891.0,250.0,0.1
7654.0,250.0,0.1
3527.0,249.8,0.1
2024.0,253.0,0.1
3841.0,249.9,0.1
5166.0,249.8,0.1
6877.0,250.0,0.1
8176.0,250.5,0.1
5805.0,249.9,0.1
1390.0,212.7,0.1
3076.0,249.1,0.1
6790.0,250.0,0.1
4502.0,250.0,0.1
5419.0,250.0,0.1
5592.0,250.0,0.1
1131.0,189.1,0.1
6063.0,250.1,0.1
3721.0,250.2,0.1
3041.0,249.0,0.1
3722.0,250.2,0.1
8777.0,250.2,0.1
2552.0,245.3,0.1
5774.0,250.0,0.1
8177.0,250.5,0.1
7942.0,249.7,0.1
1266.0,200.4,0.1
3707.0,250.3,0.1
4311.0,250.0,0.1
5905.0,250.1,0.1
7286.0,250.0,0.1
7769.0,249.8,0.1
2594.0,245.3,0.1
7737.0,250.0,0.1
5638.0,250.1,0.1
5105.0,249.8,0.1
2212.0,250.1,0.1
4697.0,250.1,0.1
8523.0,250.2,0.1
1223.0,196.5,0.1
8423.0,250.5,0.1
2268.0,248.5,0.1
4907.0,250.0,0.1
8555.0,249.8,0.1
3185.0,249.7,0.1
8567.0,249.8,0.1
5078.0,249.8,0.1
2979.0,248.8,0.1
1830.0,253.5,0.1
4226.0,249.8,0.1
5782.0,249.9,0.1
9218.0,250.0,0.1
5212.0,249.8,0.1
7513.0,250.0,0.1
7896.0,250.0,0.1
3188.0,249.7,0.1
6514.0,249.9,0.1
1242.0,198.1,0.1
6961.0,249.8,0.1
1442.0,218.5,0.1
5606.0,250.0,0.1
3043.0,249.0,0.1
7669.0,250.0,0.1
5833.0,249.9,0.1
6263.0,249.9,0.1
4853.0,250.0,0.1
4656.0,250.0,0.1
8368.0,250.0,0.1
3224.0,249.9,0.1
6074.0,250.1,0.1
2939.0,248.8,0.1
8252.0,250.6,0.1
3623.0,250.3,0.1
2332.0,247.9,0.1
5885.0,250.1,0.1
1925.0,253.7,0.1
5394.0,250.0,0.1
8153.0,250.3,0.1
332.0,126.1,0.1
8681.0,250.3,0.1
8953.0,250.1,0.1
2999.0,248.9,0.1
7220.0,249.7,0.1
34.0,115.2,0.1
977.0,177.0,0.1
5018.0,250.1,0.1
7923.0,249.6,0.1
2287.0,248.4,0.1
599.0,148.7,0.1
1480.0,222.8,0.1
2307.0,248.4,0.1
8461.0,250.3,0.1
995.0,178.4,0.1
448.0,136.3,0.1
4474.0,249.9,0.1
5766.0,250.0,0.1
4262.0,250.0,0.1
889.0,170.5,0.1
2892.0,248.4,0.1
8865.0,250.3,0.1
417.0,132.4,0.1
6170.0,250.1,0.1
3198.0,249.8,0.1
125.0,115.9,0.1
2126.0,251.0,0.1
1280.0,201.8,0.1
6896.0,250.1,0.1
1085.0,185.7,0.1
7453.0,249.7,0.1
6589.0,249.8,0.1
7048.0,249.8,0.1
5626.0,250.0,0.1
8477.0,250.3,0.1
3981.0,249.7,0.1
3869.0,249.9,0.1
3449.0,249.8,0.1
6889.0,250.0,0.1
7145.0,249.7,0.1
6652.0,250.0,0.1
1524.0,227.7,0.1
7588.0,250.2,0.1
3723.0,250.2,0.1
5476.0,249.8,0.1
3186.0,249.7,0.1
5559.0,249.9,0.1
8315.0,250.3,0.1
1398.0,213.5,0.1
5324.0,249.9,0.1
2121.0,251.0,0.1
6445.0,249.8,0.1
8682.0,250.4,0.1
7657.0,250.0,0.1
865.0,168.8,0.1
1334.0,207.2,0.1
7759.0,250.0,0.1
706.0,156.2,0.1
5114.0,249.8,0.1
2335.0,247.8,0.1
1554.0,231.6,0.1
5133.0,249.8,0.1
8031.0,250.0,0.1
7864.0,249.6,0.1
4468.0,250.0,0.1
7798.0,249.3,0.1
1080.0,185.4,0.1
6259.0,249.8,0.1
7756.0,249.9,0.1
1833.0,253.6,0.1
8504.0,250.3,0.1
3715.0,250.2,0.1
644.0,152.0,0.1
3429.0,249.9,0.1
2174.0,250.8,0.1
4895.0,250.0,0.1
8326.0,250.3,0.1
6013.0,250.0,0.1
5365.0,250.0,0.1
6471.0,249.9,0.1
6245.0,249.7,0.1
7621.0,250.0,0.1
6350.0,249.9,0.1
5188.0,249.7,0.1
3337.0,249.8,0.1
8582.0,249.8,0.1
1908.0,253.7,0.1
5988.0,250.2,0.1
6343.0,250.0,0.1
2888.0,248.4,0.1
5684.0,249.9,0.1
4909.0,250.0,0.1
2189.0,250.5,0.1
2815.0,247.7,0.1
3821.0,249.9,0.1
4597.0,249.9,0.1
7903.0,250.1,0.1
7788.0,249.6,0.1
7011.0,249.6,0.1
6633.0,250.1,0.1
4007.0,249.8,0.1
3292.0,249.8,0.1
6000.0,250.1,0.1
3218.0,249.8,0.1
3822.0,249.9,0.1
2725.0,246.8,0.1
4680.0,250.0,0.1
3089.0,249.3,0.1
7526.0,249.9,0.1
4218.0,249.8,0.1
2102.0,251.4,0.1
3673.0,250.4,0.1
7715.0,250.1,0.1
