paper_id,title,year,authors,journal,publication_type,doi,abstract,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,countries_mentioned,geographic_level,activity_type,emission_type,method,analysis_type,hotspots,data_sources,relevance,notes,sector_tag
0,Global research trends in zero-waste cities: a comprehensive bibliometric analysis,2025,"Wang, Han; Zhao, Bin; Gouda, Shaban G.",Journal of Taibah University for Science,Article on scientific journal,10.1080/16583655.2025.2449616,"Zero-waste cities are one of the important ways to promote resources sustainable development worldwide and have significant implications for promoting the recycling of waste resources and promoting global sustainable development. This study presents a comprehensive bibliometric analysis of zero-waste cities to explore the current research landscape. Web of Science Core Collection (WoSCC), PubMed and Scopus databases were used to retrieve a total of 392 articles containing research on zero-waste cities. These data were analysed by bibliometric methods to draw the research trends and recent advances in zero-waste cities comprehensive overview. The results show that the first article on zero-waste cities was published in 2008, marking the start of research in this area. In 2013, the most cited article was published by Zaman Au et al., and Italy is the country with the most research in this field. Additionally, the scholars and institutions who published the most papers in this field were investigated. Keywords: “circular economy”, “food waste”, “zero waste”, “recycling” and “waste management” remain the most used words in research. Furthermore, the data analysis illustrated that “waste collection” and its related components such as “waste diversion rate” and “waste generation” are emerging topics in zero-waste cities, however, it needs further development and more connections with zero-waste cities. Keywords such as “circular economy”, “sustainable development” and “carbon emissions” may become research hotspots or future trends. Finally, this study presents the future direction of zero-waste cities, thematic focus and research hotspots making a valuable contribution to zero-waste cities field.",Zero waste city,Sustainable development,bibliometric analysis,research trends,knowledge graph,"Italy, Belgium, Poland, Sweden, France, Portugal, Austria, Spain, Denmark, Greece, Germany",NUTS 3,Recycling of waste resources,Waste,bibliometric analysis of zero-waste cities,Bibiliometric analysis,,"This studyanalysed all literature data published on zero waste cities in WoSCC, Scopus and PubMed. Using advanced search mode, the titles, abstracts or keywords of reference papers were referred to, and the search was conducted using the subject field keyword string TS = (“no-waste city” OR “non-waste city” OR “zero waste city” OR “waste free city” OR “zero-waste cities”). The time range was all years, and the last search time for data collecting and screening was 11 July 2022.",Media,,MINING_EU
1,Approaches and perspectives on the transition to the circular economy in the European Union,2025,"Lucian Puiu Georgescu Nicoleta Barbuta Misu, Valentin Marian Antohi, Costinela Fortea and Monica Laura Zlati",Frontiers in Environmental Science,Article on scientific journal,10.3389/fenvs.2025.1533776,"The transition to a circular economy is a key pillar of European sustainable development. However, in the current context, shaped by multiple crises and geopolitical conflicts, the efficiency and resilience of this transition are of particular concern. European policymakers and national authorities must adapt their approaches to mitigate risks posed by external factors while ensuring progress towards European sustainability goals. This study analyzes the transition to the European circular economy from 2010 to 2022, assessing key economic and environmental variables. Methods: The study employs an econometric approach using panel data from the 27 EU Member States. A multiple linear regression model with fixed effects panel data is applied alongside spectral analysis and descriptive statistics to examine the relationships between private investment, gross value added, municipal waste recycling rates, recyclable material flows, and greenhouse gas emissions. These methods allow for an in-depth evaluation of the factors influencing the efficiency of the circular economy transition. Results: Findings indicate that private investment and the integration of recyclable materials significantly enhance the efficiency of the circular economy. However, progress varies across Member States due to regional disparities, inadequate recycling infrastructure, and inefficient municipal waste management. High-emission countries face greater challenges in achieving environmental targets, demonstrating the need for tailored and resilient policy measures. Discussion: The results highlight the necessity of public policies that promote the attractiveness of circular economy sectors, reduce regional disparities, and improve waste management infrastructure. Additionally, the study emphasizes the importance of a coordinated and region-specific approach to accelerate the transition towards a sustainable circular economy. By integrating seasonal and regional analyses, the research contributes to the literature by offering a nuanced understanding of the factors affecting circular economy progress. These insights are valuable for supranational policymakers in developing effective strategies to enhance circular economy resilience at the European level.",Circular economy,Econometric efficiency model,Public policies,Regional disparities,Sustainability,"Germany, Netherlands, Romania, Bulgaria, Malta, Cipro, France, Spain, EU-27, Greece, Portugal","NUTS 2, Nazionale",Circular economy,Greenhouse gas emissions,"The study employs an econometric approach using panel data from the 27 EU Member States. A multiple linear regression model with fixed effects panel data is applied alongside spectral analysis and descriptive statistics to examine the relationships between private investment, gross value added, municipal waste recycling rates, recyclable material flows, and greenhouse gas emissions. (Modellizzazione)","Economica, ambientale","Lowest recycling rate and highest air pollution: Cyprus, Malta,Denmark,Greece and Portugal","Persons employed in circular economy sectors - Eurostat 2022;  Trade in recyclable raw materials - Eurostat 2024; Circular material use rate - Eurostat 2024; Material flows for circular economy- Sankey
diagram data - Eurostat 2024; Recycling rate of municipal waste - Eurostat 2024;  Private investment and gross added value related to circular economy sectors - Eurostat 2022; Greenhouse gases emissions from production
activities - 2024.",Media,,MINING_EU
2,“The role of global waste management and circular economy towards carbon neutrality”,2024,"Oo, Phyo Zaw; Prapaspongsa, Trakarn; Strezov, Vladimir; Huda, Nazmul; Oshita, Kazuyuki; Takaoka, Masaki; Ren, Jun; Halog, Anthony; Gheewala, Shabbir H.",Sustainable Production and Consumption,Article on scientific journal,https://doi.org/10.1016/j.spc.2024.11.021,"Solid waste management is a cross-cutting issue that significantly influences multiple aspects of sustainable development globally. The waste sector is a major anthropogenic source of global greenhouse gas (GHG) emissions. Most global GHG assessments of waste management rely on generic data due to limitations in available data. This research used reflective inventory data for municipal solid waste (MSW) treatment systems related to the income levels of countries, resulting in more context-specific and comprehensive assessments of GHG emissions. This study aims to assess life cycle GHG emissions from the global MSW management sector for the years 2023, 2030, and 2050 and then analyses the global and regional waste management goals set by the United Nations Environment Programme (UNEP) and the European Union (EU) to identify hotspots in the MSW management systems and critical factors that influence GHG emissions from the waste sector. The study was conducted in accordance with the standards outlined in ISO 14067:2018. The results show that the average global GHG emissions from 1 tonne of MSW in 2023 based on the existing MSW management practices was approximately 89.7 kg CO2e. The major contributor was the open dumping of MSW, contributing almost 70 % of GHG emissions. The global MSW management sector emitted a total of 173.2 Mt CO2e GHG emissions in 2023. If no improvements are made to existing systems, GHG emissions from the waste sector are projected to increase to 203.4 Mt CO2e by 2030, and to 289.5 Mt CO2e by 2050. Achieving waste management goals can reduce GHG emissions by approximately 1 % to more than 160 %. The implementation of the circular economy in the waste sector has the potential to achieve net zero emissions from the global MSW management sector by 2030 and 2050. This study provides achievable MSW management targets for the world and highlights key factors to achieve carbon neutrality from the waste sector. Prioritising policies such as upgrading open dumps, standardising household-level waste separation procedures, minimising food waste, establishing national recycling targets, and promoting circular economy through a zero-waste approach could substantially reduce GHG emissions from the waste sector. These findings are important for the adoption of circular economy principles in MSW management systems to effectively support the pursuit of carbon neutrality goals.",Carbon neutrality,Circular economy,Global waste targets,Greenhouse gas emissions,Life cycle assessment,EU-27,Nazionale,Waste management,Greenhouse gas emissions,LCA,Ambientale,,"Life cycle inventory data for global MSW management on a national scale, such as the total MSW generation per year, distance for waste collection and transport, composition of MSW, and the share of treatment methods in 217 countries, were collected from the World Bank database, as presented in Electronic Supplementary Material (ESM1). The typical components of MSW in this study were food and organic waste, glass waste, metal waste, paper and cardboard waste, plastic waste, rubber and leather waste, wood waste, yard and garden green waste, and other waste.",Media,,MINING_EU
3,“Carbon and social impacts in the EU's consumption of fossil and mineral raw materials”,2024,"Arunima Malik, Guillaume Lafortune, Camille J. Mora, Sarah Carter, Manfred Lenzen",Journal of Environmental Management,Article on scientific journal,https://doi.org/10.1016/j.jenvman.2024.122291,"Fossil and mineral raw materials cause unintended and detrimental environmental and social impacts via extraction, production and combustion processes. In this study, we analyse how consumer demand in the European Union (EU) drives environmental and social impacts in mining sectors worldwide. We employ multi-regional input-output analysis to quantify positive (i.e., income, female and male employment) and negative (greenhouse gas emissions, accidents at work, and modern slavery) impacts of raw materials. We trace these environmental and social impacts across the EU's trading partners to identify sectoral and regional hotspots of international spillovers embodied in the EU's consumer demand. We estimate that the EU's consumption is associated with significant spillover impacts primarily in Central Asia, Asia Pacific, and Africa. We contextualise these results within a three-pillar framework to highlight the importance of a comprehensive and partnership-based approach to curbing environmental and social spillovers embodied in the EU's consumption of raw materials. Specifically, we highlight three potential practical policy strategies: leveraging EU domestic instruments and regulations, strengthening the Green Deal and SDG diplomacy and financing, and promoting responsible consumption, recycling and innovation. Our results underline the need for further reforms in mining industries and trade policies to reduce adverse social and environmental impacts.",Modern slavery,Supply chain,Consumption,Minerals,Emissions,EU-27,Nazionale,International trade of critical minerals,Greenhouse gas emissions,Input-output (IO)-based and process-life-cycle (LC) based approaches; MRIO Analysis,Socio-environmental,"Across all indicators, Germany, France, and Italy are responsible for about half of social and greenhouse gas impacts embodied in the EU's raw material supply chains.","Responsible Consumption and Production Hotspots Database, which relies on the Emissions Database for Global Atmospheric Research (EDGAR) for emissions data and the International Labour Organization for employment statistics. 
Data on accidents at work (units: number of cases) are taken from the International Labour Organization. Modern slavery (expressed as cases of forced labour victims – which is used as a proxy to account for modern slavery impacts in the absence of detailed and robust data-sets for this indicator) data are obtained from a global study of modern slavery impacts in supply chains (Shilling et al., 2021). Concordance matrices were used to bridge across sectoral and regional resolution between physical datasets and MRIO data.
",Alta,,MINING_EU
4,“Quantifying CH4 emissions in hard coal mines from TROPOMI and IASI observations using the wind-assigned anomaly method”,2022,"Tu, Qiansi; Schneider, Matthias; Hase, Frank; Khosrawi, Farahnaz; Ertl, Benjamin; Necki, Jaroslaw; Dubravica, Darko; Diekmann, Christopher J.; Blumenstock, Thomas; Fang, Dianjun",Atmospheric Chemistry and  Physics,Article on scientific journal,10.5194/acp-22-9747-2022,"Intensive coal mining activities in the Upper Silesian Coal Basin (USCB) in southern Poland are resulting in large amounts of methane (CH4) emissions. Annual CH4 emissions reached 448 kt according to the European Pollutant Release and Transfer Register (E-PRTR, 2017). As a CH4 emission hotspot in Europe, it is of importance to investigate its emission sources and make accurate emission estimates. In this study, we use satellite-based total column-averaged dry-air mole fraction of CH4 (XCH4) from the TROPOspheric Monitoring Instrument (TROPOMI) and tropospheric XCH4 (TXCH4) from the Infrared Atmospheric Sounding Interferometer (IASI). In addition, the high-resolution model forecasts, XCH4 and TXCH4, from the Copernicus Atmosphere Monitoring Service (CAMS) are used to estimate the CH4 emission rate averaged over 3 years (November 2017-December 2020) in the USCB region (49.3-50.8N and 18-20E). The wind-assigned anomaly method is first validated using the CAMS forecast data (XCH4 and TXCH4), showing a good agreement with the CAMS GLOBal ANThropogenic emission (CAMS-GLOB-ANT) inventory. It indicates that the wind-assigned method works well. This wind-assigned method is further applied to the TROPOMI XCH4 and TROPOMI + IASI TXCH4 by using the Carbon dioxide and Methane (CoMet) inventory derived for the year 2018. The calculated averaged total CH4 emissions over the USCB region is about 496 kt yr-1 (5.9×1026 molec. s-1) for TROPOMI XCH4 and 437 kt yr-1 (5.2×1026 molec. s-1) for TROPOMI + IASI TXCH4. These values are very close to the ones given in the E-PRTR inventory (448 kt yr-1) and the ones in the CoMet inventory (555 kt yr-1), and are thus in agreement with these inventories. The similar estimates of XCH4 and TXCH4 also imply that for a strong source, the dynamically induced variations of the CH4 mixing ratio in the upper troposphere and lower stratosphere region are of secondary importance. Uncertainties from different error sources (background removal and noise in the data, vertical wind shear, wind field segmentation, and angle of the emission cone) are approximately 14.8% for TROPOMI XCH4 and 11.4% for TROPOMI + IASI TXCH4. These results suggest that our wind-assigned method is quite robust and might also serve as a simple method to estimate CH4 or CO2 emissions for other regions.",Carbon dioxide,Coal mine,Coal mining,Emissions inventory,Human activity,Poland,"Nazionale, NUTS 2",Coal mining,Methane emissions (CH4),Wind-assigned anomaly method,Environmental,"Upper Silesian Coal Basin (USCB), Poland","Satellite-based total column-averaged dry-air mole fraction of CH4 (XCH4) from the TROPOspheric Monitoring Instrument (TROPOMI) and tropospheric XCH4 (TXCH4) from the Infrared Atmospheric Sounding Interferometer (IASI).
High-resolution model forecasts, XCH4 and TXCH4, from the Copernicus Atmosphere Monitoring Service (CAMS) are used to estimate the CH4 emission rate averaged over 3 years (November 2017-December 2020).  ",Alta,,MINING_EU
5,“Environmental assessment of copper production in Europe: an LCA case study from Sweden conducted using two conventional software-database setups”,2022,"Sanjuan-Delmás D.; Alvarenga R.A.F.; Lindblom M.; Kampmann T.C.; van Oers, Lauran; Guinée, Jeroen B.; Dewulf J.",International Journal of Life Cycle Assessment,Article on scientific journal,10.1007/s11367-021-02018-5,"Purpose: This study focuses on the environmental assessment of European copper production. Life cycle assessment is applied to analyse copper cathode production in Sweden, including its mining (an open-pit mine) and refining (pyrometallurgy), and using two combinations of software and databases: SimaPro software with ecoinvent database and GaBi software with GaBi database. The results are compared with results from other case studies from literature. Methods: A cradle-to-gate LCA was conducted considering 1 tonne of copper as functional unit. The inventory for the foreground system was elaborated using primary data gathered by the staff from the mine, the concentrator and the smelter. For the background data, LCA databases are used considering datasets for the Swedish market whenever possible. As the smelter has multiple useful outputs, economic allocation was applied at the inventory level. The calculation method CML-IA baseline 3.5 was considered for both combinations of software and database, reporting all the impact categories of the method plus the Cumulative Energy Demand. Results and discussion: The inventory of the system and the main environmental hotspots were presented, such as the explosives for blasting (due to their supply chain) or the electricity used in the concentrator. The results obtained with the two combinations of LCA software and databases yield large differences for categories such as abiotic depletion (7.5 times higher for SimaPro and ecoinvent), possibly due to differences in the system boundaries of the databases and the characterisation factors of the method. Although the case study has a relatively high cumulative energy demand (140/168 kMJ/tonne Cu) compared to other mines, its performance in global warming (3.5/4.7 tonne CO2eq/tonne Cu) is much better due to the low greenhouse gas emissions from electricity, which shows that the electricity mix is a key aspect. Conclusions: The environmental performance of mining depends partially on the specific conditions of the deposit, e.g., the ore grade and the mining type. LCA practitioners should consider the potential different results that can be obtained using different combinations of software and database and exert caution when comparing cases, especially for abiotic depletion, human toxicity and ecotoxicity categories. Finally, the use of renewable energies can be key to improve the environmental sustainability of copper production.",Copper inventory,European mining,Life cycle analysis,Life cycle assessment,Raw materials,Sweden,NUTS 2,Mining and mineral processing; Smelting and refinery activities. (Copper),"Carbon dioxide, nitrous oxide, sulphur oxides, nitrogen oxides and ammonia",LCA,Environmental,"Aitik (Gällivare, Sweden) ; Rönnskärsverken (Skellefteå, Sweden)","- The inventory analysis was conducted using primary data from the mine and the concentrator at Aitik and the smelter at Rönnskärsverken, which was gathered by the staff from Boliden Mineral AB. All the data for the inventory is based on operation data from 2015, and all the quantities were scaled to the functional unit (1 tonne of copper); LCA is applied to SimaPro software with the ecoinvent database and the GaBi software and database.",Alta,"The system under assessment takes place in two locations: (1) mining and mineral processing (concentrator) activities at Aitik (Gällivare, Sweden) and (2) smelting and refining activities at Rönnskärsverken (Skellefteå, Sweden). Nome azienda: Boliden AB (stylized as New Boliden) is a Swedish multinational metals, mining, and smelting company headquartered in Stockholm.",MINING_EU
6,“Polish underground coal mines as point sources of methane emission to the atmosphere”,2020,Justyna Swolkień,International Journal of Greenhouse Gas Control,Article on scientific journal,https://doi.org/10.1016/j.ijggc.2019.102921,"The Upper Silesian Coal Basin in Poland is one of the major European hotspots of CH4 release. Until now, no data concerning short-term CH4 emissions from coal mines have been accessible worldwide. They are available only on a yearly timescale. No values are provided on a higher temporal scale, that’s why the measurements presented here are of great importance. This paper discusses short-term CH4 emissions from ventilation shafts of three mining fronts (Mf) divided into two periods. The concentrations of CH4 in shafts varied from 0.05 to 0.4 %. The highest levels occurred in Shaft IV (Mf I) and Shaft VI (Mf II): from 0.15 to 0.38 % (Period 1). These values correspond to emission levels ranging from 27 to 75 m3/min (Shaft IV) and from 18 to 40 m3/min (Shaft VI). In Period 2, the highest concentrations of CH4 occurred in Shaft VI (Mf II and III): from 0.2 to 0.4 %. The most significant CH4 emissions were recorded for Shaft VI (Mf II) and ranged from 29 to 54 m3/min. Presented data have been used to validate the measurements obtained in the CoMet campaign, which aimed at verifying the sensitivity of the test equipment operating from aircraft. During the test flights of HALO in 2015, the CoMet team achieved a remarkable consistency of measurements conducted with airborne equipment (26 ± 3m3/min) and the emission data (24.34 m3/min), for Shaft VI (Mf II). The analysed short-term data for individual shafts are more reliable and can improve CH4 flux estimates during the CoMet campaign in 2018.
",Air pollution,Satellite measurements,Ventilation air methane,Methane drainage,Emission of methane,Poland,NUTS 2,Coal mining,"CH4 emissions, CO2 emissions","Satellite, air-born and ground measurements",Environmental,"Upper Silesian Coal Basin (USCB), Poland","Direct measurement data, collected from January 2015 to August 2016",Alta,"In the Upper Silesian Coal Basin (USCB) in Poland there are 20 active coal mines operating, with 30 mining fronts, in an area covering 1100 km2.",MINING_EU
7,“Global emission hotspots of coal power generation”,2019,Oberschelp C.; Pfister S.; Raptis C.E.; Hellweg S.,Nature Sustainability,Article on scientific journal,https://doi.org/10.1038/s41893-019-0221-6,"Coal power generation is a primary cause of greenhouse gas (GHG) and toxic airborne emissions globally. We present a uniquely comprehensive inventory of CO2, methane, particulate matter, sulfur dioxide, nitrogen oxides and mercury emissions for 7,861 coal-generating units including their supply chains. Total GHG and toxic substance emissions are largest from China, the United States, India, Germany and Russia (together >64% per pollutant). Overall supply chain contributions are below 19%, but exceed 75% for individual units and pollutants. Methane emissions from underground coal mining offset Chinese coal power plant efficiency advantages in comparison to India. Health impacts, as quantified by regionalized life cycle assessment, are highest in India and parts of eastern and southeastern Europe due to lack of modern flue gas treatment, and in China due to widespread coal power generation. Deployment of state-of-the-art flue gas treatment, driven by local emission limits, can mitigate health impacts in India and parts of Europe while it is already largely used in China and the United States. Phase-out of the 10% most polluting coal power plants (by capacity) would reduce coal power GHG emissions by 16% or human health impacts by 64%, respectively.",Coal,Flue gases,Pollution,Underground mining,Life cycle assessment,"Germany, Poland",Nazionale,Mining,Greenhouse gas emissions,"Model (R): the emission inventory model for coal power 
plants in this work consists of three parts. It covers mine emissions, transport 
emissions and plant emissions. ","Environmental, economic",Germany,"The model first sets up the databases for power plants, mines, transportation grid, coal samples, trade data and reported emissions. In a second step, power plants and mines were connected by transport routes, and individual coal mixes were retrieved per power plant unit. A coal washing model was applied to account for coal preparation at the mines. Missing power plant data was imported from several databases if available, retrieved from satellite images or estimated and will be explained in more detail in the following sections. Then, power plant emissions were imported from external data sources where possible, while for the remaining units, emissions were calculated on the basis of technical power plant specifications, flue gas cleaning and coal properties. Regional mine and transport emissions were retrieved from ecoinvent v.3.3 (cut-off system model) with individual improvements on mine emissions to capture regional differences in more detail. Then, human health impacts for PM2.5, SO2, NOx and Hg2+ emissions were calculated.",Media,,MINING_EU
8,"Minerals at the crossroads: Economic policies, global trade, and renewable energy in the global South",2024,"Amar Rao, Mrinalini Srivastava, Jaya Singh Parihar, Shubham Chavriya, Mosharrof Hosen",Resources Policy,Articolo su rivista,https://doi.org/10.1016/j.resourpol.2024.105257,"The study investigates the impact of China's mineral exports on renewable energy adoption in the Global South, highlighting supply chain risks, the role of economic globalization, and the need for new governance frameworks.",Critical minerals,Global South,Renewable energy,Economic policy,Trade globalization,"six Asian countries: Bangladesh, India, Indonesia,
Pakistan, the Philippines, and Vietnam.",Nazionale,"Mineral extraction, international trade",CO2,generalized method of moments (difference GMM).,Economico - Ambientale,Dependency on emerging nations for critical minerals,"World Bank, WITS databases, secondary data sources",Alta,Focus on sustainability and supply chain disruptions,MINING_EU
9,Supply Chain Resilience of Mineral Resources Industry in China,2023,"Rui Jiang, Chunxue Liu, Xiaowei Liu, Shuai Zhang",Discrete Dynamics in Nature and Society,Articolo su rivista,https://doi.org/10.1155/2023/1338223,"This study models China's mineral resources supply chain resilience using a system dynamics approach, analyzing imports, supply, and reserves under scenarios of steady development and crisis.",Supply Chain Resilience,Mineral resources,System Dynamics,Reserve policy,China mining industry,None,Nazionale (China),Mining industry planning and reserves management,Non specificato,System Dynamics modeling,Economico - Strategico,High import dependency of China's mining sector,"National Bureau of Statistics of China, modeled data",Media,Relevant for understanding supply chain vulnerability,MINING_EU
