task,model,f1_macro,f1_macro_std,accuracy,n,cv_folds,class_counts
sector,rf,0.9346863709292522,0.035385356051876336,0.948204368752314,366,5,"{'agri': 258, 'mining': 108}"
sector,linear_svc,0.9306783810123159,0.031392234102171485,0.9454276194002222,366,5,"{'agri': 258, 'mining': 108}"
sector,logreg,0.9237652819287089,0.03754380015410573,0.9399851906701222,366,5,"{'agri': 258, 'mining': 108}"
sector,nb,0.7739640383567139,0.04717326187365011,0.8470196223620882,366,5,"{'agri': 258, 'mining': 108}"
region,rf,1.0,0.0,1.0,366,5,"{'eu': 294, 'out': 72}"
region,linear_svc,0.9486513663339176,0.028052454258951757,0.9700111069974083,366,5,"{'eu': 294, 'out': 72}"
region,logreg,0.9435310018499166,0.02907196035080472,0.967271380970011,366,5,"{'eu': 294, 'out': 72}"
region,nb,0.547266672900621,0.0639887861467496,0.8251388374676045,366,5,"{'eu': 294, 'out': 72}"
relevance,rf,0.6436849816849818,0.028725214002119966,0.6928571428571428,101,5,"{'high': 63, 'medium_low': 38}"
relevance,logreg,0.5507207660711554,0.07778854031999352,0.6233333333333333,101,5,"{'high': 63, 'medium_low': 38}"
relevance,linear_svc,0.5361612180922526,0.08718680098430684,0.6038095238095239,101,5,"{'high': 63, 'medium_low': 38}"
relevance,nb,0.4115084670231729,0.06027020501844286,0.6338095238095238,101,5,"{'high': 63, 'medium_low': 38}"
code:barriers:data,rf,0.8480886753755257,0.0314174477976236,0.8716031099592744,366,5,"{'no': 244, 'yes': 122}"
code:barriers:data,linear_svc,0.7125626399197341,0.0470306776107548,0.7650499814883378,366,5,"{'no': 244, 'yes': 122}"
code:barriers:data,logreg,0.7121568259918776,0.04531782724420882,0.7486116253239541,366,5,"{'no': 244, 'yes': 122}"
code:barriers:data,nb,0.3999972462805511,0.00208011802935601,0.6666790077748982,366,5,"{'no': 244, 'yes': 122}"
code:barriers:database,logreg,0.6073036163716414,0.10050596402407286,0.950870048130322,366,5,"{'no': 345, 'yes': 21}"
code:barriers:database,linear_svc,0.5666143745376588,0.10023045354075232,0.9481303221029249,366,5,"{'no': 345, 'yes': 21}"
code:barriers:database,nb,0.4852358908696937,0.0013592041761055994,0.9426508700481303,366,5,"{'no': 345, 'yes': 21}"
code:barriers:database,rf,0.4852358908696937,0.0013592041761055994,0.9426508700481303,366,5,"{'no': 345, 'yes': 21}"
code:barriers:land,rf,0.8902775395592876,0.0260908523807086,0.9207700851536469,366,5,"{'no': 270, 'yes': 96}"
code:barriers:land,logreg,0.8004697577792012,0.04626399915569472,0.8579785264716773,366,5,"{'no': 270, 'yes': 96}"
code:barriers:land,linear_svc,0.7652196770901325,0.032229109084234105,0.8443169196593854,366,5,"{'no': 270, 'yes': 96}"
code:barriers:land,nb,0.42453248031496066,0.0013287401574803238,0.737726767863754,366,5,"{'no': 270, 'yes': 96}"
code:barriers:landscape,linear_svc,0.552706268446324,0.10406942500494165,0.9153276564235467,366,5,"{'no': 333, 'yes': 33}"
code:barriers:landscape,logreg,0.5404427975277721,0.08513297960352484,0.907108478341355,366,5,"{'no': 333, 'yes': 33}"
code:barriers:landscape,rf,0.530579125440232,0.06855042152069256,0.9125879303961495,366,5,"{'no': 333, 'yes': 33}"
code:barriers:landscape,nb,0.47639208997543603,0.0017841953412010992,0.9098482043687524,366,5,"{'no': 333, 'yes': 33}"
code:barriers:landscapes,logreg,0.5380820666031934,0.10244698661489873,0.9535727508330247,366,5,"{'no': 348, 'yes': 18}"
code:barriers:landscapes,linear_svc,0.5380820666031934,0.10244698661489873,0.9535727508330247,366,5,"{'no': 348, 'yes': 18}"
code:barriers:landscapes,nb,0.4873926152095166,0.0017307117701698346,0.9508330248056275,366,5,"{'no': 348, 'yes': 18}"
code:barriers:landscapes,rf,0.4873926152095166,0.0017307117701698346,0.9508330248056275,366,5,"{'no': 348, 'yes': 18}"
code:barriers:storage,logreg,0.48953942609115025,5.787316132142006e-05,0.9590151795631247,366,5,"{'no': 351, 'yes': 15}"
code:barriers:storage,linear_svc,0.48953942609115025,5.787316132142006e-05,0.9590151795631247,366,5,"{'no': 351, 'yes': 15}"
code:barriers:storage,nb,0.48953942609115025,5.787316132142006e-05,0.9590151795631247,366,5,"{'no': 351, 'yes': 15}"
code:barriers:storage,rf,0.48953942609115025,5.787316132142006e-05,0.9590151795631247,366,5,"{'no': 351, 'yes': 15}"
code:barriers:transport,logreg,0.5288008563540478,0.08029121785668533,0.9563124768604221,366,5,"{'no': 349, 'yes': 17}"
code:barriers:transport,linear_svc,0.5288008563540478,0.08029121785668533,0.9563124768604221,366,5,"{'no': 349, 'yes': 17}"
code:barriers:transport,nb,0.4881116145200652,0.0017143813766033582,0.9535727508330247,366,5,"{'no': 349, 'yes': 17}"
code:barriers:transport,rf,0.4881116145200652,0.0017143813766033582,0.9535727508330247,366,5,"{'no': 349, 'yes': 17}"
code:barriers:water,linear_svc,0.801365653707774,0.03939214203929287,0.8771195853387634,366,5,"{'no': 278, 'yes': 88}"
code:barriers:water,rf,0.7956181188578454,0.07319037703285235,0.8797112180673825,366,5,"{'no': 278, 'yes': 88}"
code:barriers:water,logreg,0.7589802767830994,0.030407214514670457,0.8416142169566827,366,5,"{'no': 278, 'yes': 88}"
code:barriers:water,nb,0.4316722570065593,0.0020280434601650217,0.7595705294335431,366,5,"{'no': 278, 'yes': 88}"
code:drivers:demand,logreg,0.7261161303014594,0.09812606255313353,0.9235468345057386,366,5,"{'no': 325, 'yes': 41}"
code:drivers:demand,linear_svc,0.6755686240389356,0.11730965528868477,0.9180673824509441,366,5,"{'no': 325, 'yes': 41}"
code:drivers:demand,rf,0.5456479113384484,0.09230795224592148,0.8961865975564607,366,5,"{'no': 325, 'yes': 41}"
code:drivers:demand,nb,0.4703367740590136,0.0013554373892190605,0.8880044427989635,366,5,"{'no': 325, 'yes': 41}"
code:drivers:efficiency,logreg,0.5577598288236586,0.09309264114746015,0.939911144020733,366,5,"{'no': 342, 'yes': 24}"
code:drivers:efficiency,linear_svc,0.523737539056688,0.08281213722803853,0.9371714179933358,366,5,"{'no': 342, 'yes': 24}"
code:drivers:efficiency,nb,0.48304829722270537,0.0014368113589809791,0.9344316919659386,366,5,"{'no': 342, 'yes': 24}"
code:drivers:efficiency,rf,0.48304829722270537,0.0014368113589809791,0.9344316919659386,366,5,"{'no': 342, 'yes': 24}"
code:drivers:technology,logreg,0.6436268675885097,0.09206698746563499,0.9480562754535355,366,5,"{'no': 342, 'yes': 24}"
code:drivers:technology,linear_svc,0.551083522411062,0.08280187573019757,0.9398741206960386,366,5,"{'no': 342, 'yes': 24}"
